DATA;CO_ID;CL_ID;CL_GENERO;CL_EC;CL_FHL;CL_SEG;PR_ID;PR_CAT;PR_NOME
02/01/2010;10872;1;M;CASADO OU UNIAO ESTAVEL;0;C;800210;ALIMENTOS;BANANA
02/01/2010;10872;1;M;CASADO OU UNIAO ESTAVEL;0;C;800216;ALIMENTOS;CAFE
02/01/2010;10872;1;M;CASADO OU UNIAO ESTAVEL;0;C;800247;ALIMENTOS;PAO DE FORMA
02/01/2010;10872;1;M;CASADO OU UNIAO ESTAVEL;0;C;800225;ALIMENTOS;DOCE
02/01/2010;10872;1;M;CASADO OU UNIAO ESTAVEL;0;C;800248;ALIMENTOS;PAPINHA INFANTIL
02/01/2010;10872;1;M;CASADO OU UNIAO ESTAVEL;0;C;600402;HIGIENE;CREME
02/01/2010;10872;1;M;CASADO OU UNIAO ESTAVEL;0;C;400602;PET;RACAO SECA PARA GATOS
02/01/2010;10872;1;M;CASADO OU UNIAO ESTAVEL;0;C;600417;HIGIENE;REPELENTE
02/01/2010;10872;1;M;CASADO OU UNIAO ESTAVEL;0;C;800245;ALIMENTOS;OVOS
02/01/2010;10872;1;M;CASADO OU UNIAO ESTAVEL;0;C;800222;ALIMENTOS;CORACAO DE FRANGO
02/01/2010;10872;1;M;CASADO OU UNIAO ESTAVEL;0;C;800252;ALIMENTOS;QUEIJO DE CABRA
02/01/2010;10872;1;M;CASADO OU UNIAO ESTAVEL;0;C;800243;ALIMENTOS;MOLHO BARBECUE
02/01/2010;10872;1;M;CASADO OU UNIAO ESTAVEL;0;C;500521;LIMPEZA;VASSOURA
02/01/2010;10872;1;M;CASADO OU UNIAO ESTAVEL;0;C;800233;ALIMENTOS;LATA DE MILHO
02/01/2010;10872;1;M;CASADO OU UNIAO ESTAVEL;0;C;600408;HIGIENE;GEL
03/01/2010;11059;1;M;CASADO OU UNIAO ESTAVEL;0;C;800248;ALIMENTOS;PAPINHA INFANTIL
03/01/2010;11059;1;M;CASADO OU UNIAO ESTAVEL;0;C;600415;HIGIENE;PRESERVATIVO
03/01/2010;11059;1;M;CASADO OU UNIAO ESTAVEL;0;C;600419;HIGIENE;SHAMPOO
03/01/2010;11059;1;M;CASADO OU UNIAO ESTAVEL;0;C;600402;HIGIENE;CREME
03/01/2010;11059;1;M;CASADO OU UNIAO ESTAVEL;0;C;800259;ALIMENTOS;SNACKS
03/01/2010;11059;1;M;CASADO OU UNIAO ESTAVEL;0;C;500518;LIMPEZA;SABAO EM PO
03/01/2010;11059;1;M;CASADO OU UNIAO ESTAVEL;0;C;600411;HIGIENE;LENCO UMEDECIDO
03/01/2010;11059;1;M;CASADO OU UNIAO ESTAVEL;0;C;800254;ALIMENTOS;REQUEIJAO
03/01/2010;11059;1;M;CASADO OU UNIAO ESTAVEL;0;C;800234;ALIMENTOS;LEITE
03/01/2010;11059;1;M;CASADO OU UNIAO ESTAVEL;0;C;800200;ALIMENTOS;ABACATE
03/01/2010;11059;1;M;CASADO OU UNIAO ESTAVEL;0;C;600405;HIGIENE;FIO DENTAL
03/01/2010;11059;1;M;CASADO OU UNIAO ESTAVEL;0;C;500510;LIMPEZA;LIMPADOR MULTIUSO
03/01/2010;11059;1;M;CASADO OU UNIAO ESTAVEL;0;C;800209;ALIMENTOS;AZEITONA
04/01/2010;11246;1;M;CASADO OU UNIAO ESTAVEL;0;C;800251;ALIMENTOS;PRESUNTO COZIDO
04/01/2010;11246;1;M;CASADO OU UNIAO ESTAVEL;0;C;500503;LIMPEZA;BALDE
04/01/2010;11246;1;M;CASADO OU UNIAO ESTAVEL;0;C;600406;HIGIENE;FIXADOR
04/01/2010;11246;1;M;CASADO OU UNIAO ESTAVEL;0;C;600407;HIGIENE;FRALDA
04/01/2010;11246;1;M;CASADO OU UNIAO ESTAVEL;0;C;800218;ALIMENTOS;CENOURA
04/01/2010;11246;1;M;CASADO OU UNIAO ESTAVEL;0;C;800259;ALIMENTOS;SNACKS
05/01/2010;11433;2;M;SEPARADO;0;B;500503;LIMPEZA;BALDE
05/01/2010;11433;2;M;SEPARADO;0;B;600417;HIGIENE;REPELENTE
05/01/2010;11433;2;M;SEPARADO;0;B;700303;BEBIDAS;REFRIGERANTE LARANJA
05/01/2010;11433;2;M;SEPARADO;0;B;800227;ALIMENTOS;FILE DE PEIXE
05/01/2010;11433;2;M;SEPARADO;0;B;800237;ALIMENTOS;LINGUICA
05/01/2010;11433;2;M;SEPARADO;0;B;800224;ALIMENTOS;DANETTE
05/01/2010;11433;2;M;SEPARADO;0;B;800227;ALIMENTOS;FILE DE PEIXE
05/01/2010;11433;2;M;SEPARADO;0;B;800239;ALIMENTOS;MACARRAO INSTANTANEO
05/01/2010;11433;2;M;SEPARADO;0;B;800260;ALIMENTOS;TOMATE
06/01/2010;11620;2;M;SEPARADO;0;B;800246;ALIMENTOS;PALMITO
06/01/2010;11620;2;M;SEPARADO;0;B;800216;ALIMENTOS;CAFE
06/01/2010;11620;2;M;SEPARADO;0;B;600404;HIGIENE;ESCOVA DE DENTE
06/01/2010;11620;2;M;SEPARADO;0;B;400603;PET;RACAO UMIDA PARA CAES
06/01/2010;11620;2;M;SEPARADO;0;B;800252;ALIMENTOS;QUEIJO DE CABRA
06/01/2010;11620;2;M;SEPARADO;0;B;800210;ALIMENTOS;BANANA
06/01/2010;11620;2;M;SEPARADO;0;B;500508;LIMPEZA;INSETICIDA
06/01/2010;11620;2;M;SEPARADO;0;B;800253;ALIMENTOS;QUEIJO MUSSARELA
06/01/2010;11620;2;M;SEPARADO;0;B;800212;ALIMENTOS;BATATA DOCE
06/01/2010;11620;2;M;SEPARADO;0;B;800242;ALIMENTOS;MANGA
06/01/2010;11620;2;M;SEPARADO;0;B;800220;ALIMENTOS;COGUMELOS
06/01/2010;11620;2;M;SEPARADO;0;B;800246;ALIMENTOS;PALMITO
06/01/2010;11620;2;M;SEPARADO;0;B;600420;HIGIENE;TALCO
06/01/2010;11620;2;M;SEPARADO;0;B;800224;ALIMENTOS;DANETTE
06/01/2010;11620;2;M;SEPARADO;0;B;800242;ALIMENTOS;MANGA
07/01/2010;11807;2;M;SEPARADO;0;B;400602;PET;RACAO SECA PARA GATOS
07/01/2010;11807;2;M;SEPARADO;0;B;700304;BEBIDAS;REFRIGERANTE LIMaO
07/01/2010;11807;2;M;SEPARADO;0;B;600408;HIGIENE;GEL
07/01/2010;11807;2;M;SEPARADO;0;B;800234;ALIMENTOS;LEITE
07/01/2010;11807;2;M;SEPARADO;0;B;400602;PET;RACAO SECA PARA GATOS
07/01/2010;11807;2;M;SEPARADO;0;B;500516;LIMPEZA;RODO
07/01/2010;11807;2;M;SEPARADO;0;B;600413;HIGIENE;PAPEL HIGIENICO
07/01/2010;11807;2;M;SEPARADO;0;B;800234;ALIMENTOS;LEITE
07/01/2010;11807;2;M;SEPARADO;0;B;800243;ALIMENTOS;MOLHO BARBECUE
07/01/2010;11807;2;M;SEPARADO;0;B;600418;HIGIENE;SABONETE
07/01/2010;11807;2;M;SEPARADO;0;B;800212;ALIMENTOS;BATATA DOCE
07/01/2010;11807;2;M;SEPARADO;0;B;500521;LIMPEZA;VASSOURA
07/01/2010;11807;2;M;SEPARADO;0;B;500519;LIMPEZA;TIRA LIMO
08/01/2010;11994;2;M;SEPARADO;0;B;400602;PET;RACAO SECA PARA GATOS
08/01/2010;11994;2;M;SEPARADO;0;B;800256;ALIMENTOS;SALGADINHO
08/01/2010;11994;2;M;SEPARADO;0;B;600413;HIGIENE;PAPEL HIGIENICO
08/01/2010;11994;2;M;SEPARADO;0;B;400601;PET;RACAO SECA PARA CAES
08/01/2010;11994;2;M;SEPARADO;0;B;800252;ALIMENTOS;QUEIJO DE CABRA
08/01/2010;11994;2;M;SEPARADO;0;B;600416;HIGIENE;PROTETOR SOLAR
08/01/2010;11994;2;M;SEPARADO;0;B;800222;ALIMENTOS;CORACAO DE FRANGO
08/01/2010;11994;2;M;SEPARADO;0;B;800226;ALIMENTOS;FEIJAO
08/01/2010;11994;2;M;SEPARADO;0;B;800239;ALIMENTOS;MACARRAO INSTANTANEO
08/01/2010;11994;2;M;SEPARADO;0;B;800233;ALIMENTOS;LATA DE MILHO
08/01/2010;11994;2;M;SEPARADO;0;B;800217;ALIMENTOS;CEBOLA
